created_at,text,sentiment,lang
2023-02-11 17:25:16+00:00,Phenomenal presentation by Dr. Sobhani evaluating time in range CGM variable and outcomes in women with Type 1 DM in pregnancy.  Higher TIR reduces pree and LGA #SMFM23 #SMFM2023 @MySMFM https://t.co/f6owGjeuir,0.0,en
2023-02-11 17:25:11+00:00,गर्भवतियों को सही पोषण और बीमारियों से बचाव की दी जानकारी https://t.co/glvyCekFQA,0.0,hi
2023-02-11 17:25:03+00:00,@Epsilone23 @JackieFrancesca @Krispi_Largo @AsherSummerson @TXBridg @stevieanntas @DamonKnox13 @Ivygraysa20 @SlaggitySlag @CrazyReii @Gunner1301 @reaINathanD @AsherCl11285056 @Poo_anne @Car53134231 @Juliaswart3 @mr_JasonW @LifeLover1781 @annaeck73 @ohginger_snaps @rab1dkorndogg @dcffk @JGainsbourgh @All_Fem_United @999Devilish @218Taxidermybat @JeffAllen2143 @LeftistKristin @beethovengal @pukeuprainbows @cannoli1000 @TJ_onfire @pixposies @vixmcintyre @Justinjtp @Aiyah02436291 @Godisgood1836 @to_discussion @pancakehopper1 @1stthes521 @thatwitchyjess7 @mhandy111 @TroytheMan207 @barrenessblack2 @CarlosGfather @maelwas @Buzzsaws1990 @iamknob69 @AboveNun @onesimuscalling No woman is killing their children you dimwit. Stop with the dehumanizing of pregnant people. You are a hypocrite,-0.9042,en
2023-02-11 17:25:02+00:00,"Men can get pregnant yes

a man born as a female can and has gotten pregnant https://t.co/mCWlJKAWDA",0.4019,en
2023-02-11 17:25:01+00:00,"@signsaresaying @CPHO_Canada @bmj_latest The unjabbed are not getting repeated infections.  We still have working immune systems.  Natural immunity is real, I have it (I think, I never actually tested 😂).
These jabs were never tested in pregnant women, and miscarriage and fetal demise rates have gone up.  ☠💉☠💉☠💉",0.5719,en
2023-02-11 17:24:53+00:00,"no one ever writes pregnancy sex…. you guys are fools… 
you write breeding kink but theres so much more thats fun after that",0.6448,en
2023-02-11 17:24:47+00:00,"Wildfire smoke exposure in pregnancy raises risk of preterm birth
https://t.co/SIWyWmW66Y",-0.2732,en
2023-02-11 17:24:43+00:00,"@WBloodsucca @SeanFendi @1lonerlifestyle given contrasting statements that makes her words not credible. She’s lied about injuries as a result of the abuse, about her pregnancy, and more. You can look at more in this pretty detailed thread if you care to: 

https://t.co/ZARXNluo0T

(2/2)",0.6444,en
2023-02-11 17:24:39+00:00,Why am I still pregnant,0.0,it
2023-02-11 17:24:37+00:00,lying boutta miscarriage knowin u wasnt pregnant is crazy 😂,-0.3322,en
